Instance,StrategyType,Call1,Put2,Call2,Put1,SingleOrderLot,MaxPositionLot,Spread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,SymbolName,StrikePrice,Expiry
1,12,52489,47308,47309,52488,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52489,47316,47317,52488,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52489,47316,47317,52488,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52489,46140,46141,52488,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52489,46140,46141,52488,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52489,37922,37932,52488,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52489,37922,37932,52488,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52489,41364,41451,52488,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52489,41364,41451,52488,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52489,41460,41461,52488,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52489,41460,41461,52488,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52579,47308,47309,52578,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52579,47308,47309,52578,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52579,47316,47317,52578,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52579,47316,47317,52578,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52579,46140,46141,52578,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52579,46140,46141,52578,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52579,37922,37932,52578,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52579,37922,37932,52578,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52579,41364,41451,52578,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52579,41364,41451,52578,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52579,41460,41461,52578,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52579,41460,41461,52578,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52704,47308,47309,52703,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52704,47308,47309,52703,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52704,47316,47317,52703,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52704,47316,47317,52703,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52704,46140,46141,52703,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52704,46140,46141,52703,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52704,37922,37932,52703,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52704,37922,37932,52703,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52704,41364,41451,52703,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52704,41364,41451,52703,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52704,41460,41461,52703,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52704,41460,41461,52703,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52733,47308,47309,52732,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52733,47308,47309,52732,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52733,47316,47317,52732,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52733,47316,47317,52732,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52733,46140,46141,52732,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52733,46140,46141,52732,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52733,37922,37932,52732,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52733,37922,37932,52732,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52733,41364,41451,52732,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52733,41364,41451,52732,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52733,41460,41461,52732,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52733,41460,41461,52732,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52762,47308,47309,52746,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52762,47308,47309,52746,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52762,47316,47317,52746,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52762,47316,47317,52746,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52762,46140,46141,52746,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52762,46140,46141,52746,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52762,37922,37932,52746,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52762,37922,37932,52746,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52762,41364,41451,52746,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52762,41364,41451,52746,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52762,41460,41461,52746,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52762,41460,41461,52746,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52772,47308,47309,52765,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52772,47308,47309,52765,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52772,47316,47317,52765,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52772,47316,47317,52765,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52772,46140,46141,52765,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52772,46140,46141,52765,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52772,37922,37932,52765,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52772,37922,37932,52765,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52772,41364,41451,52765,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52772,41364,41451,52765,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52772,41460,41461,52765,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,12,52772,41460,41461,52765,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
