Instance,StratType,Token1,Token2,Token3,SingleOrderLot,MaxPositionLot,TokenWiseSpread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,PortName
1,2,39666,39124,39123,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27400 (R)
1,1,39666,39126,39125,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27500 (C)
1,2,39666,39126,39125,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27500 (R)
1,1,39666,39594,39593,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27600 (C)
1,2,39666,39594,39593,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27600 (R)
1,1,39666,39597,39595,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27700 (C)
1,2,39666,39597,39595,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27700 (R)
1,1,39666,39997,39996,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27800 (C)
1,2,39666,39997,39996,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27800 (R)
1,1,39666,39532,39520,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27900 (C)
1,2,39666,39532,39520,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27900 (R)
1,1,39666,39543,39542,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-28000 (C)
1,2,39666,39543,39542,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-28000 (R)
1,1,39666,41461,41460,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-28100 (C)
1,2,39666,41461,41460,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-28100 (R)
